Week,Flair & Type, Points
6,Arts and Miscellaneous & Other,1,
6, Fluff & Image,23,
6, Fluff & Video,46,
6,News and Announcements & Image,14,
6,Suggestion and Feedback & Image,7,
6,Discussion & Image,39,
6,Discussion & Video,93,
6,Other & Image,10,
6,Arts and Miscellaneous & Text,0,
6,Arts and Miscellaneous & Image,85,
7,Arts and Miscellaneous & Video,17,
7, Fluff & Image,68,
7, Fluff & Video,23,
7,News and Announcements & Image,10,
7,Other & Image,26,
7,Discussion & Image,0,
7,Discussion & Video,87,
7,Discussion & Other,0,
7,Arts and Miscellaneous & Text,0,
7,Arts and Miscellaneous & Image,49,
8,Arts and Miscellaneous & Video,30,
8, Fluff & Image,13,
8, Fluff & Video,28,
8,Guides and Tips & Image,20,
8,Discussion & Text,0,
8,Discussion & Image,9,
8,Discussion & Video,141,
8,Discussion & Other,0,
8,Arts and Miscellaneous & Text,0,
8,Arts and Miscellaneous & Image,54,
9,Guides and Tips & Image,8,
9, Fluff & Image,33,
9, Fluff & Video,66,
9, Fluff & Other,0,
9,Discussion & Text,0,
9,Discussion & Image,9,
9,Discussion & Video,91,
9,Discussion & Other,0,
9,Arts and Miscellaneous & Text,0,
9,Arts and Miscellaneous & Image,99,
10,Arts and Miscellaneous & Video,23,
10, Fluff & Image,60,
10, Fluff & Video,5,
10, Fluff & Other,0,
10,Discussion & Text,0,
10,Discussion & Image,16,
10,Discussion & Video,130,
10,Discussion & Other,0,
10,Arts and Miscellaneous & Text,0,
10,Arts and Miscellaneous & Image,91,
11,Arts and Miscellaneous & Video,18,
11, Fluff & Image,46,
11, Fluff & Video,7,
11,News and Announcements & Video,17,
11,Suggestion and Feedback & Image,8,
11,Discussion & Image,5,
11,Discussion & Video,90,
11,Discussion & Other,0,
11,Arts and Miscellaneous & Text,0,
11,Arts and Miscellaneous & Image,114,
