Week,Flair,Flair Points
6, Fluff,237,
6,Discussion,10,
6,Arts and Miscellaneous,41,
6,Clips and Highlights,0,
6,News and Announcements,0,
6,Guides and Tips,14,
6,Bugs and Reports,6,
6,Suggestion and Feedback,0,
6,Other,0,
7, Fluff,236,
7,Discussion,44,
7,Arts and Miscellaneous,45,
7,Clips and Highlights,0,
7,News and Announcements,0,
7,Guides and Tips,0,
7,Bugs and Reports,0,
7,Suggestion and Feedback,0,
7,Other,0,
8, Fluff,285,
8,Discussion,23,
8,Arts and Miscellaneous,0,
8,Clips and Highlights,0,
8,News and Announcements,0,
8,Guides and Tips,0,
8,Bugs and Reports,0,
8,Suggestion and Feedback,17,
8,Other,0,
9, Fluff,245,
9,Discussion,4,
9,Arts and Miscellaneous,25,
9,Clips and Highlights,0,
9,News and Announcements,0,
9,Guides and Tips,3,
9,Bugs and Reports,14,
9,Suggestion and Feedback,11,
9,Other,0,
10, Fluff,191,
10,Discussion,57,
10,Arts and Miscellaneous,39,
10,Clips and Highlights,0,
10,News and Announcements,0,
10,Guides and Tips,0,
10,Bugs and Reports,0,
10,Suggestion and Feedback,21,
10,Other,0,
11, Fluff,201,
11,Discussion,49,
11,Arts and Miscellaneous,18,
11,Clips and Highlights,0,
11,News and Announcements,0,
11,Guides and Tips,4,
11,Bugs and Reports,41,
11,Suggestion and Feedback,12,
11,Other,0,
